product_id,제품명,기존_brand_name,반영_brand_name
27338a7c-15d3-49ba-a94b-177300a55501,하림펫푸드밥이보약 강아지 기능성 사료,쿠팡검색,하림펫푸드
2778486a-ca79-4e6c-be73-0373e7abd741,캐츠랑 고양이 저요저요 보양간식,쿠팡검색,캐츠랑
28f1041f-65a1-4e3c-b683-0283cfd13412,ANF 베터플러스 독 샘플 멀티팩 40g x 4종 세트,쿠팡검색,ANF
2960f6d1-3df4-4923-858f-9dc70a39aa3c,쉬바 고양이 주식 파우치,쿠팡상품,쉬바
2a625af0-be37-4eae-b118-e18b79787e8d,"인디고포 고양이 면역 기능성 사료, 헤어볼, 6kg, 1개",쿠팡검색,인디고포
2c3a403e-d81f-4621-b187-f22d0c630802,잘먹잘싸 강아지 건식사료,쿠팡상품,잘먹잘싸
2c8ff287-1afa-444b-be86-0bfbed99b324,"캣퓨어 고양이 유산균 포뮬러 기능성 사료, 유리너리+장건강, 1.2kg, 1개",쿠팡검색,캣퓨어
2c99d5d7-9af4-4917-9e4e-e47bff6edfaa,"블루버팔로 어덜트 캣 인도어 건식사료, 닭, 4.9kg, 1개",쿠팡검색,블루버팔로
2d933997-d682-429c-af87-71d21a489d15,"EVOLVE 전연령 그레인프리 강아지 건식사료, 칠면조, 11.79kg, 1개",쿠팡검색,EVOLVE
2ef52748-0c12-40f6-a4cb-507af10f5e12,"조공 어덜트 소피 캣 내추럴 습식캔, 참치, 90g, 24개",쿠팡검색,조공
315eb335-d7e6-44bf-ada2-383c6cb68391,로렌츠 강아지 슬개골탈구 눈물자국 사료 팜레시피,쿠팡검색,로렌츠
33989548-9282-4b59-8090-1cbb07b7cc92,ANF 전연령용 독 소프트사료,쿠팡검색,ANF
342ba8fd-fe36-4eb2-a908-fb1f24f24151,이나바 고양이 치킨가득 파우치 간식 12p,쿠팡검색,이나바
3495ec0b-d471-4fb0-9475-27e6d4137328,"제로랩스 강아지 고기가득 노즈워크 져키, 소고기, 1kg, 2개",쿠팡검색,제로랩스
35040101-3ccd-473b-b50f-451da548c08d,그리니즈 강아지 덴탈껌,쿠팡검색,그리니즈
3585cf1a-d632-4ec1-911a-ff4faab9a3ed,이즈칸 강아지 알러지프리 기능성 사료,쿠팡검색,이즈칸
3596743b-a246-41a0-a5aa-e0cb8ce9a284,오가앤리프 캣 웨이트케어 유기농 다이어트 가수분해 사료,쿠팡검색,오가앤리프
38156f33-31df-47ae-abdc-552d1a4703f1,"펫생각 하루조이 미니말랑 저칼로리 자색고구마 노즈워크 강아지 간식 다이어트 칭찬 보상 교육 훈련용 대용량 간식, 자색고구마, 200g, 1개",쿠팡상품,펫생각
3b58137b-d053-4707-857d-717f38212ca2,"INDIGO 강아지 바이오뉴트리션 기능성 사료, 피부/피모+장건강, 2kg, 1개",쿠팡검색,INDIGO
3bb53683-06fb-41cb-83bc-ae9bf0a4abb3,"로얄 프리미엄 고양이 플러스 스틱 간식 50p, 새우, 500g, 6개",쿠팡검색,로얄
3fca3b4c-3bb4-4f13-ab56-eff3c4ddf567,"펫생각 하루조이 미니말랑 저칼로리 자색고구마 노즈워크 강아지 간식 다이어트 칭찬 보상 교육 훈련용 대용량 간식, 자색고구마, 200g, 1개",쿠팡검색,펫생각
